HandoffPolicy,MeanReportedCoverage,WorstReportedCoverage,MeanUnreportedCells,MeanRobotsAtBase,MeanHandoffs,Trials
link_quality,7.139468008626887,7.139468008626887,0,5,2,1
time_saving,7.137311286843998,7.137311286843998,0,5,3,1
