ReturnPolicy,Environment,Robots,ReportedCoverage,LiveCoverage,UnreportedCells,RobotsAtBase
periodic,env1,3,3.9554277498202737,3.9554277498202737,0,2
periodic,env3,3,1.9557007846283287,1.9557007846283287,0,0
efficient_periodic,env1,3,4.028756290438533,4.028756290438533,0,3
efficient_periodic,env3,3,1.508273491563452,1.508273491563452,0,3
selective_courier,env1,3,3.9554277498202737,3.9554277498202737,0,3
selective_courier,env3,3,1.5940412598404654,1.5940412598404654,0,3
value_density,env1,3,3.9554277498202737,3.9554277498202737,0,3
value_density,env3,3,1.5940412598404654,1.5940412598404654,0,3
