ReturnPolicy,MeanReportedCoverage,WorstReportedCoverage,MeanLiveCoverage,MeanUnreportedCells,MeanRobotsAtBase,Trials
periodic,2.955564267224301,1.9557007846283287,2.955564267224301,0,1,2
selective_courier,2.7747345048303695,1.5940412598404654,2.7747345048303695,0,3,2
value_density,2.7747345048303695,1.5940412598404654,2.7747345048303695,0,3,2
efficient_periodic,2.7685148910009927,1.508273491563452,2.7685148910009927,0,3,2
