Policy,Weights,Small,Medium,Large,Single,Multi,Mean,Median,Worst,StdDev,Trials
detour_capped,0.50/0.25/0.20/0.05,1.1890726096333575,0.42427325676195693,0.6118997364176672,nan,0.7417485342709939,0.7417485342709939,0.6118997364176672,0.42427325676195693,0.3254484549726155,6
trajectory_diversified,0.50/0.25/0.20/0.05,1.1890726096333575,0.42427325676195693,0.5425090446589627,nan,0.718618303684759,0.718618303684759,0.5425090446589627,0.42427325676195693,0.3361451728783161,6
elastic_trajectory,0.50/0.25/0.20/0.05,1.1890726096333575,0.42329491719986173,0.5425090446589627,nan,0.718292190497394,0.718292190497394,0.5425090446589627,0.42329491719986173,0.3364309283521495,6
clearance_utility,0.50/0.25/0.20/0.05,1.1890726096333575,0.4099242765178938,0.5425090446589627,nan,0.7138353102700713,0.7138353102700713,0.5425090446589627,0.4099242765178938,0.3403748406441908,6
