ReturnPolicy,MeanReportedCoverage,WorstReportedCoverage,MeanLiveCoverage,MeanUnreportedCells,MeanRobotsAtBase,Trials
selective_courier,2.7747345048303695,1.5940412598404654,2.7747345048303695,0,3,2
homeward_sweep_return,2.6320344660048476,1.333802936323139,2.6320344660048476,0,3,2
nearest_frontier_return,2.616288302925775,1.2972782593382512,2.616288302925775,0,3,2
gain_sweep_return,2.608828861149309,1.306083315397108,2.608828861149309,0,3,2
