Weights,Small,Medium,Large,Single,Multi,Mean,Median,Worst,StdDev,Trials
0.50/0.00/0.00/0.50,1.4809489575844716,0.42101212488830625,0.7769370573572887,nan,0.8929660466100222,0.8929660466100222,0.7769370573572887,0.42101212488830625,0.44042673782499697,3
1.00/0.00/0.00/0.00,1.4809489575844716,0.42101212488830625,0.7769370573572887,nan,0.8929660466100222,0.8929660466100222,0.7769370573572887,0.42101212488830625,0.44042673782499697,3
0.50/0.00/0.50/0.00,1.5686556434219987,0.41807710620202054,0.7769370573572887,nan,0.9212232689937693,0.9212232689937693,0.7769370573572887,0.41807710620202054,0.480674266511201,3
0.00/0.00/0.50/0.50,1.3457943925233644,0.4294910677597981,0.7699468402513749,nan,0.848410766844846,0.848410766844846,0.7699468402513749,0.4294910677597981,0.37817137788357336,3
0.00/0.00/1.00/0.00,1.3457943925233644,0.4294910677597981,0.7699468402513749,nan,0.848410766844846,0.848410766844846,0.7699468402513749,0.4294910677597981,0.37817137788357336,3
0.50/0.50/0.00/0.00,1.4414090582314882,0.4317738600713536,0.7407925201267105,nan,0.871325146143184,0.871325146143184,0.7407925201267105,0.4317738600713536,0.42238993294666394,3
0.00/0.00/0.00/1.00,0.4485981308411215,0.15294708487421813,0.15583069353183276,nan,0.25245863641572414,0.25245863641572414,0.15583069353183276,0.15294708487421813,0.138696562694275,3
0.00/0.50/0.00/0.50,0.4485981308411215,0.15294708487421813,0.15583069353183276,nan,0.25245863641572414,0.25245863641572414,0.15583069353183276,0.15294708487421813,0.138696562694275,3
0.00/0.50/0.50/0.00,0.4485981308411215,0.15294708487421813,0.15583069353183276,nan,0.25245863641572414,0.25245863641572414,0.15583069353183276,0.15294708487421813,0.138696562694275,3
0.00/1.00/0.00/0.00,0.4485981308411215,0.15294708487421813,0.15583069353183276,nan,0.25245863641572414,0.25245863641572414,0.15583069353183276,0.15294708487421813,0.138696562694275,3
