ReturnPolicy,MeanReportedCoverage,WorstReportedCoverage,MeanLiveCoverage,MeanUnreportedCells,MeanRobotsAtBase,Trials
periodic,2.955564267224301,1.9557007846283287,2.955564267224301,0,1,2
payload_adaptive,2.5838332793851624,1.2711892043490456,2.5838332793851624,0,3,2
deadline,2.580990990784426,1.2705369779743152,2.580990990784426,0,3,2
link_aware,2.488420712419601,1.1687896635164132,2.488420712419601,0,3,2
