ReturnPolicy,Environment,Robots,ReportedCoverage,LiveCoverage,UnreportedCells,RobotsAtBase
periodic,env1,3,3.9554277498202737,3.9554277498202737,0,2
periodic,env3,3,1.9557007846283287,1.9557007846283287,0,0
deadline,env1,3,3.8914450035945363,3.8914450035945363,0,3
deadline,env3,3,1.2705369779743152,1.2705369779743152,0,3
payload_adaptive,env1,3,3.8964773544212794,3.8964773544212794,0,3
payload_adaptive,env3,3,1.2711892043490456,1.2711892043490456,0,3
link_aware,env1,3,3.8080517613227896,3.8080517613227896,0,3
link_aware,env3,3,1.1687896635164132,1.1687896635164132,0,3
