ReturnPolicy,MeanReportedCoverage,WorstReportedCoverage,MeanLiveCoverage,MeanUnreportedCells,MeanRobotsAtBase,Trials
selective_courier,2.7747345048303695,1.5940412598404654,2.7747345048303695,0,3,2
nearest_frontier_return,2.709564495601999,1.508273491563452,2.709564495601999,0,3,2
homeward_sweep_return,2.709564495601999,1.508273491563452,2.709564495601999,0,3,2
gain_sweep_return,2.7027348766228476,1.508273491563452,2.7027348766228476,0,3,2
