Policy,Weights,Small,Medium,Large,Single,Multi,Mean,Median,Worst,StdDev,Trials
nbv,0.50/0.25/0.20/0.05,1.4867002156721782,0.42231657763776653,0.8422359147125316,nan,0.9170842360074921,0.9170842360074921,0.8422359147125316,0.42231657763776653,0.4377440923868249,3
adaptive,0.50/0.25/0.20/0.05,1.4543493889288281,0.4125331820168144,0.7818813572614717,nan,0.8829213094023715,0.8829213094023715,0.7818813572614717,0.4125331820168144,0.4312787622815128,3
coordinated,0.50/0.25/0.20/0.05,1.4320632638389648,0.4125331820168144,0.7742091677549809,nan,0.8729352045369201,0.8729352045369201,0.7742091677549809,0.4125331820168144,0.422035164166109,3
gain_per_cost,0.50/0.25/0.20/0.05,1.4227174694464413,0.4317738600713536,0.7731862091541155,nan,0.8758925128906369,0.8758925128906369,0.7731862091541155,0.4317738600713536,0.4110180432866223,3
nearest,0.50/0.25/0.20/0.05,1.1890726096333575,0.41677265345256037,0.6482147667483897,nan,0.7513533432781024,0.7513533432781024,0.6482147667483897,0.41677265345256037,0.3236149770490099,3
